productReference;Brand;IDTECDOC;EAN;Name;Description;Stock;price;Currency;priceeurop;Currency.1
1000-030-302T;jrone;6662;1000000132419.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-030-337T;jrone;6662;1000000132420.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-030-378T;jrone;6662;1000000132421.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-030-390T;jrone;6662;1000000132422.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-030-391T;jrone;6662;1000000132423.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-004;jrone;6662;1000000132424.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-107;jrone;6662;1000000132425.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-115;jrone;6662;1000000132426.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-121;jrone;6662;1000000132427.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-122;jrone;6662;1000000132428.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-129;jrone;6662;1000000132429.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-131;jrone;6662;1000000132430.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-136;jrone;6662;1000000132431.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-148;jrone;6662;1000000132432.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-149;jrone;6662;1000000132433.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-175;jrone;6662;1000000132434.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-176T;jrone;6662;1000000132435.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-177;jrone;6662;1000000132436.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-179;jrone;6662;1000000132437.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-197T;jrone;6662;1000000132438.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-201;jrone;6662;1000000132439.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-040-219;jrone;6662;1000000132440.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-050-012;jrone;6662;1000000132441.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-050-231T;jrone;6662;1000000132442.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-060-103;jrone;6662;1000000132443.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-080-008;jrone;6662;1000000132444.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
1000-080-012;jrone;6662;1000000132445.0;PIECESOE;PIECESOE;0.0;119,78;EUR;119,78;EUR
2100-010-307;jrone;6662;1000000132446.0;PIECESOE;PIECESOE;0.0;119,83;EUR;119,83;EUR
1000-030-395T;jrone;6662;1000000132447.0;PIECESOE;PIECESOE;0.0;119,91;EUR;119,91;EUR
