ID_Product,Quantity,Quantity_Fourniss_After_Cumule,available
G02122V,1,1,1
G02123W,1,1,1
G02125V,1,1,1
G02125W,1,1,1
G02126V,1,1,1
G02127AC,1,1,1
G02129V,1,1,1
G02131V,1,1,1
G02131W,1,1,1
G02132S,0,0,0
G02135W,1,1,1
G02136W,1,1,1
G02140S,1,1,1
G02141W,1,1,1
G02142S,1,1,1
G02144S,1,1,1
G02146W,1,1,1
G02151S,1,1,1
G02152W,1,1,1
G02160W,1,1,1
G02161W,1,1,1
G02162AC,0,0,0
G02163AC,1,1,1
G02164AC,1,1,1
G02165AC,1,1,1
G02176V,1,1,1
G02182V,1,1,1
G02184V,0,0,0
G02185V,1,1,1
G03001V,1,1,1
G03002V,1,1,1
G03003V,1,1,1
G03004V,1,1,1
G03005V,1,1,1
G03006V,1,1,1
G03007V,1,1,1
G03008V,1,1,1
G03009V,1,1,1
G03010V,1,1,1
G03011V,1,1,1
G03012V,1,1,1
G03013V,1,1,1
G03014V,1,1,1
G03015V,1,1,1
G03016V,1,1,1
G03017V,1,1,1
G03018V,1,1,1
G03019V,1,1,1
G03020V,1,1,1
G03022V,1,1,1
G03023V,1,1,1
GARANZIA,0,0,0
GEOMETRIA,0,0,0
GK000,0,0,0
GK013,1,1,1
GK1000,0,0,0
GK1001,0,0,0
GK1002,1,1,1
GK1003,0,0,0
GK1004,1,1,1
GK1005,0,0,0
GK1006,1,1,1
GK1007,1,1,1
GK1008,1,1,1
GK1009,0,0,0
GK1010,1,1,1
GK1011,0,0,0
GK1012,1,1,1
GK1013,0,0,0
GK1014,1,1,1
GK1015,0,0,0
GK1016,0,0,0
GK1017,0,0,0
GK1018,1,1,1
GK1019,1,1,1
GK1020,0,0,0
GK1021,1,1,1
GK1022,1,1,1
GK1023,1,1,1
GK1024,1,1,1
GK1025,1,1,1
GK1026,1,1,1
GK1027,0,0,0
GK1029,1,1,1
GK106,1,1,1
GK111,1,1,1
GK118,1,1,1
GK1199,0,0,0
GK127,0,0,0
GK129,1,1,1
GK130,1,1,1
GK132,1,1,1
GK133,1,1,1
GK135,0,0,0
GK137,1,1,1
GK148,1,1,1
GK150,1,1,1
GK157,1,1,1
GK169,0,0,0
GK170,1,1,1
GK175,1,1,1
GK181,1,1,1
GK185,1,1,1
GK191,0,0,0
GK192,1,1,1
GK1947,1,1,1
GK195,1,1,1
GK196,0,0,0
GK197,1,1,1
GK198,1,1,1
GK199,1,1,1
GK201,0,0,0
GK202,0,0,0
GK204,1,1,1
GK205,0,0,0
GK206,1,1,1
GK207,1,1,1
GK208,1,1,1
GK209,1,1,1
GK210,1,1,1
GK212,0,0,0
GK214,1,1,1
GK215,0,0,0
GK216,0,0,0
GK217,1,1,1
GK219,1,1,1
GK220,1,1,1
GK221,1,1,1
GK222,1,1,1
GK227,1,1,1
GK228,1,1,1
GK229,0,0,0
GK230,1,1,1
GK231,1,1,1
GK232,1,1,1
GK233,1,1,1
GK234,0,0,0
GK238,1,1,1
GK239,1,1,1
GK241,1,1,1
GK242,1,1,1
GK243,1,1,1
GK244,1,1,1
GK245,1,1,1
GK250,1,1,1
GK251,0,0,0
GK254,1,1,1
GK255,1,1,1
GK256,0,0,0
GK257,1,1,1
GK258,1,1,1
GK259,1,1,1
GK263,1,1,1
GK265,1,1,1
GK268,0,0,0
GK269,1,1,1
GK270,1,1,1
GK271,1,1,1
GK282,1,1,1
GK283,1,1,1
GK288,1,1,1
GK289,1,1,1
GK29,1,1,1
GK290,1,1,1
GK291,1,1,1
GK294,1,1,1
GK295,0,0,0
GK297,1,1,1
GK301,1,1,1
GK302,1,1,1
GK303,1,1,1
GK309,1,1,1
GK313,1,1,1
GK321,0,0,0
GK322,1,1,1
GK325,1,1,1
GK329,0,0,0
GK33,1,1,1
GK330,1,1,1
GK331,1,1,1
GK332,1,1,1
GK336,1,1,1
GK338,1,1,1
GK339,1,1,1
GK343,1,1,1
GK344,0,0,0
GK346,1,1,1
GK347,1,1,1
