ID_Product,Quantity,Quantity_Fourniss_After_Cumule
14254,104,104
14314,0,0
143165,2,2
143175,0,0
14352002,4,4
14352003,7,7
14352005,10,10
14352006,8,8
143551,1,1
143552,2,2
143553,2,2
143554,2,2
143576,0,0
143596,0,0
143597,10,10
143599,104,104
143701,0,0
144075,1,1
1442G,2,2
14434,187,187
144352,2,2
144397,5,5
144398,4,4
144399,16,16
14468,198,198
14486,98,98
1450006,1,1
145071,1,1
145075,1,1
14507534,1,1
145077,1,1
14550,130,130
145578,0,0
145599,70,70
145698,2,2
145775,4,4
145776,6,6
145777,1,1
145778,1,1
145781,2,2
145782,1,1
145788,1,1
14596,12,12
14597,14,14
14598,2,2
14599,4,4
1464G,4,4
146775,4,4
146776,0,0
146777,10,10
146778,20,20
146779,2,2
146780,10,10
146799,2,2
1480H,3,3
148399,6,6
1500024,1,1
1500030,28,28
1500031,11,11
1500032,19,19
1500033,6,6
1500034,6,6
1500035,10,10
1500038,15,15
1500039,67,67
1500040,13,13
1500041,38,38
1500070,1,1
1500071,12,12
1500072,9,9
1500073,1,1
1500074,0,0
1500075,0,0
1500080,1,1
1500082,2,2
150024,2,2
15002501,24,24
150080,0,0
150098,2,2
150099,14,14
1501004,15,15
1501006,13,13
1501007,39,39
150112,1,1
150151,1,1
150152,1,1
150198,2,2
150209,0,0
150213,1,1
150251,1,1
150252,0,0
150275,0,0
150276,0,0
150375,1,1
150475,1,1
15051,2,2
15052,2,2
150675,36,36
150676,26,26
150702,1,1
150735,14,14
150736,13,13
150737,7,7
150738,8,8
1507509,4,4
1507510,9,9
150753,0,0
150754,1,1
1507548,2,2
1507549,2,2
150799,4,4
150899,9,9
15090801,18,18
15091001,304,304
15091002,5,5
15091003,53,53
15091004,41,41
15092001,1,1
150925,36,36
15092501,46,46
150933,33,33
150934,34,34
150935,8,8
150936,6,6
150937,104,104
150938,14,14
150939,45,45
1509500,77,77
150951,55,55
150952,50,50
15096,10,10
150975,14,14
150976,22,22
150981,0,0
150982,0,0
15099,6,6
150999,15,15
151000,28,28
151001,108,108
151002,79,79
151004,33,33
151009,134,134
151025,43,43
151026,17,17
151027,14,14
15105,1,1
1510801,35,35
1510802,7,7
1510803,9,9
1510804,11,11
1510805,11,11
15109000,65,65
151100,2,2
151101,13,13
151102,2,2
151103,67,67
151104,41,41
151105,31,31
151106,44,44
151107,23,23
151108,65,65
15110801,62,62
151109,29,29
151110,82,82
151111,8,8
151112,27,27
151113,6,6
151114,20,20
151115,23,23
15120,1,1
1512001,19,19
1512002,40,40
1512003,28,28
1512004,10,10
1512005,19,19
151268,0,0
151271,2,2
151273,0,0
151274,1,1
151275,1,1
151280,7,7
151290,0,0
15135,1,1
15137511,0,0
15151,1,1
15152,2,2
151701,18,18
151702,24,24
15173,34,34
15174,12,12
15178,2,2
15179,1,1
15180,0,0
15181,1,1
15182,1,1
15195,93,93
15196,21,21
15197,11,11
15198,2,2
15199,3,3
1519900,2,2
1519G,2,2
15204,52,52
15251,0,0
15252,0,0
15253,2,2
15254,2,2
1525G,1,1
153040,27,27
153120,4,4
153130,0,0
1533G,0,0
153430,2,2
153520,33,33
153540,1,1
153590,0,0
153620,13,13
153640,2,2
153720,6,6
15373,5,5
15374,9,9
15375,4,4
15376,8,8
15399,3,3
15475,3,3
15476,5,5
15590,23,23
1559G,1,1
1567G,0,0
1573G,0,0
1578G,0,0
1584G,0,0
160073,0,0
160074,4,4
160075,1,1
160076,1,1
160078,1,1
160079,2,2
160080,1,1
160081,2,2
160099,10,10
16009900,4,4
16051,3,3
16052,2,2
16053,5,5
16054,1,1
16055,1,1
16056,1,1
16057,2,2
160575,2,2
16058,0,0
160681,0,0
161076,2,2
161370,9,9
161678,1,1
162065,1,1
162072,0,0
162073,1,1
162074,1,1
162076,1,1
162099,5,5
165076,1,1
168099,0,0
17007,1,1
1706D1FR,54,54
17075,0,0
1707D025FR,42,42
17090KIT,4,4
171083,1,1
171084,1,1
171771,1,1
17184,1,1
1719900,2,2
17203,1,1
1722591,10,10
17251,2,2
17252,0,0
17253,0,0
17254,1,1
17271,15,15
17272,11,11
17273,6,6
17274,3,3
17275,4,4
17276,11,11
17277,4,4
17278,9,9
17279,2,2
17280,1,1
17298,0,0
17299,3,3
1729900,3,3
1732590,32,32
1732591,16,16
1732592,9,9
1732593,19,19
1732594,5,5
17373,6,6
17374,6,6
17375,13,13
17376,10,10
17377,7,7
17378,7,7
17399,3,3
1740G,10,10
17475,1,1
175075,0,0
17551,1,1
17552,1,1
176073,9,9
176074,7,7
176077,10,10
176078,8,8
176099,2,2
177075,3,3
17707505,14,14
17707506,3,3
17707509,2,2
17707517,2,2
17707518,6,6
177076,6,6
177081,12,12
177082,14,14
177083,10,10
177099,2,2
1783D05FR,75,75
1783D1FR,60,60
18008,1,1
